title,release_year,imdb_link,plot_des,runtime,budget,opening_weekend_gross,box_office_gross,studio,mpaa_rating,award,critic_score,audience_score,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,rotten_link,count_award
LILTING,2014,https://www.imdb.com/title/tt2560102/,"A young man of Chinese-Cambodian descent dies, leaving behind his isolated mother and his 4-year male lover, who grieve but don't speak a lick of each other's language.",91,,"$1,567,","$247,377",London Film Productions,Not Rated,0,84,80,"Sep 26, 2014",,"Aug 10, 2016","['drama', 'gayandlesbian']","['Peter Bowles', 'Andy Brunskill', 'Mark Towns', 'Naomi Christie', 'Morven Christie', 'Bob Benton', 'Andrew Leung', 'Daniel Bergmann', 'Stuart Earl', 'Hong Khaou', 'Ben Whishaw', 'Robert Herman', 'Pei-pei Cheng', 'Urszula Pontikos', 'Dominic Buchanan']",['Hong Khaou'],https://www.rottentomatoes.com/m/lilting,0
LITTLE RED WAGON,2012,https://www.imdb.com/title/tt1614430/,"With nothing more than a blazing spirit of philanthropy and his beat-up red wagon, Zach sets out to help homeless children in America. In the process, he sweeps his fractured family - and ultimately the entire country - along with him.",104,,,,Anonymous Content,PG,0,45,61,,,"Nov 18, 2016",['drama'],"[""Frances O'Connor"", 'Patrick Sheane Duncan', 'Anna Gunn', 'Daveigh Chase', 'Karan Kendrick', 'Peter Jurasik', 'Anthony Reynolds', 'David Anspaugh', 'Deena Dill', 'Jeff Beal', 'Barbara Kelly', 'Christopher Cibelli', 'Jason Davis', 'Mihai Malaimare Jr.', 'Chandler Canterbury', 'Michael Guillen', 'Steve Golin', 'David Kanter', 'Fawn']",['David Anspaugh'],https://www.rottentomatoes.com/m/little_red_wagon_2012,0
MEMORY THE ORIGINS OF ALIEN,2019,https://www.imdb.com/title/tt8974964/,"An in-depth voyage into the sci-fi film ""Alien"" with the visionary filmmakers who created it. See how one of the most terrifying movies of all time came to life 40 years ago, inspired by ancient mythology and our universal fears.",95,,,,,Not Rated,0,81,92,"Oct 4, 2019",,"Oct 4, 2019",['documentary'],"['Terry Rawlings', 'Roger Corman', 'Jon Hegel', 'Chad Herschberger', 'Veronica Cartwright', 'Roger Christian', 'Ronald Shusett', 'Ben Mankiewicz', 'Ivor Powell', 'Alexandre O. Philippe', 'Kerry Deignan Roy', 'Robert Muratore', ""Diane O'Bannon"", 'Carmen Scheifele-Giger', 'Leslie Barany']",['Alexandre O. Philippe'],https://www.rottentomatoes.com/m/memory_the_origins_of_alien,0
PEEPLES,2013,https://www.imdb.com/title/tt1699755/,Sparks fly when Wade Walker crashes the Peeples annual reunion in the Hamptons to ask for their precious daughter Grace's hand in marriage.,95,,,,,PG-13,0,38,49,"May 10, 2013",,"Nov 21, 2015",['romance'],"['Charles S. Dutton', 'Craig Robinson', 'Tina Gordon Chism', 'Michael Paseornek', 'Diahann Carroll', 'Malcolm Barrett', 'Kerry Washington', 'Paul Hall', 'Ana Gasteyer', 'Matt Moore', 'Preston Holmes', 'David Alan Grier', 'S. Epatha Merkerson', 'Ozzie Areu', 'Melvin Van Peebles', 'Tyler James Williams', 'Tyler Perry', 'Stephanie Allain', 'Kali Hawk']",['Tina Gordon Chism'],https://www.rottentomatoes.com/m/peeples,0
PERCY JACKSON SEA OF MONSTERS,2013,https://www.imdb.com/title/tt1854564/,"In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters, to find the mythical Golden Fleece, all the while trying to stop an ancient evil from rising.",106,"$90,000,000","$14,401,054,","$199,850,315",Fox 2000 Pictures,PG,0,42,55,"Aug 7, 2013",,"Nov 25, 2015","['kidsandfamily', 'adventure', 'fantasy']","['Guy Oseary', 'Alexandra Daddario', 'Mark Radcliffe', 'Shelly Johnson', 'Chris Columbus', 'Logan Lerman', 'Mary Birdsong', 'Mark Morgan', 'Thor Freudenthal', 'Leven Rambin', 'Karen Rosenfelt', 'Greg Mooradian', 'Douglas Smith', 'Stanley Tucci', 'Anthony Stewart Head', 'Michael Barnathan', 'Jake Abel', 'Brandon T. Jackson', 'Nathan Fillion', 'Marc Guggenheim']",['Thor Freudenthal'],https://www.rottentomatoes.com/m/percy_jackson_sea_of_monsters,0
PING PONG SUMMER,2014,https://www.imdb.com/title/tt2402985/,A family vacation during the summer of 1985 changes everything for a teenage boy obsessed with ping pong.,92,,"$25,781,","$52,909",Compass Entertainment,Not Rated,0,59,32,"Jun 6, 2014",,"Jun 19, 2016",['comedy'],"['Robert Longstreet', 'Maddie Howard', 'Michael Gottwald', 'John Hannah', 'Jeffrey Allard', 'Michael Montes', 'Brooke Bernard', 'Susan Sarandon', 'Judah Friedlander', 'Lea Thompson', 'Julie S. Fuller', 'Marcello Conte', 'Marcus Dean Fuller', 'Myles Massey', 'Emmi Shockley', 'Walter S. Hall', 'Lori Krein', 'Amy Sedaris', 'Michael Tully']",['Michael Tully'],https://www.rottentomatoes.com/m/ping_pong_summer,0
POINT BLANK,2019,https://www.imdb.com/title/tt2499472/,An ER nurse and a career criminal are forced into an unlikely partnership in taking down a ring of corrupt cops threatening the lives of both their families.,86,,,,,TV-MA,0,38,31,,,"Jul 12, 2019","['action', 'mysteryandthriller']","['Frank Grillo', 'Christian Cooke', 'Boris McGiver', 'Anthony Mackie', 'Ming Wang', 'Joe Lynch', 'Joe Carnahan', 'Juan Miguel Azpiroz', 'Adam G. Simon', 'Johanna Byer', 'Teyonah Parris', 'Marcia Gay Harden']",['Joe Lynch'],https://www.rottentomatoes.com/m/point_blank_2019,0
PREGGOLAND,2014,https://www.imdb.com/title/tt2559458/,A thirty-five-year-old woman fakes being pregnant to fit in with her friends.,109,,,,,Not Rated,0,47,36,"May 8, 2015",,"Dec 30, 2016","['comedy', 'drama']","['Sonja Bennett', 'Paul Campbell', 'Dylan Thomas Collingwood', 'Jared Keeso', 'Lisa Durupt', 'Steve Cosens', 'Ray Fortier', 'John Chui', 'Laura Harris', 'Danny Trejo', 'Denise Jones', 'Robert Mitchell', 'Aaron Au', 'Kevin Eastwood', 'Jacob Tierney', 'James Jandrisch', 'Carrie Ruscheinsky', 'James Caan']",['Jacob Tierney'],https://www.rottentomatoes.com/m/preggoland,0
REC 3 GENESIS,2012,https://www.imdb.com/title/tt1649444/,A couple's wedding day turns horrific as some of the guests start showing signs of a strange illness.,80,"$6,400,000","$3,001,","$11,019,975",Filmax,R,0,42,27,"Sep 7, 2012",,"Oct 12, 2018","['action', 'mysteryandthriller', 'horror']","['Luis Berdejo', 'Mikel Salas', 'Claire Baschet', 'Paco Moreno', 'Leticia Dolera', 'Àlex Monner', 'Diego Martín', 'Ana Isabel Velásquez', 'Paco Plaza', 'Javier Botet', 'Mireia Ros', 'Jaume Balagueró', 'David Gallart', 'Julio Fernández', 'Ismael Martínez', 'Carlo Fernandez', 'Carla Nieto', 'Pablo Rosso']",['Paco Plaza'],https://www.rottentomatoes.com/m/rec_3_genesis,0
RISE OF THE LEGEND,2014,https://www.imdb.com/title/tt3469592/,"An orphan, whose father has been killed by dark power, attempts to bring justice back to the town.",131,,,"$30,932,534",Edko Films,Not Rated,0,63,57,"Mar 11, 2016",,"Mar 8, 2016","['action', 'sportsandfitness']","['Angelababy', 'Tony Leung', 'Chow Hin Yeung', 'Wang Luodan', 'Zhang Jin', 'Jing Boran', 'Wong Cho Lam', 'Greg Basser', 'Chi-long To', 'Eddie Peng', 'Sammo Hung', 'Ryuhei Chiba', 'Ivy Ho', 'Sammo Kam-Bo Hung']",['Chow Hin Yeung'],https://www.rottentomatoes.com/m/rise_of_the_legend_2014,0
SHOT CALLER,2017,https://www.imdb.com/title/tt4633690/,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,121,,,"$3,440,362",Bold Films,R,0,69,80,"Aug 18, 2017",,"Aug 18, 2017","['crime', 'drama', 'mysteryandthriller']","['Jon Bernthal', 'Jeff Skoll', 'Gary Michael Walters', 'Emory Cohen', 'Ric Roman Waugh', 'Michel Litvak', 'Nikolaj Coster-Waldau', 'Jonathan King', 'Evan Jones', 'Lake Bell', 'Jessy Schram', 'Matthew Rhodes', 'Jeffrey Stott', 'Jeffrey Donovan', 'Benjamin Bratt', 'Lisa Zambri']",['Ric Roman Waugh'],https://www.rottentomatoes.com/m/shot_caller,0
STANDING UP FALLING DOWN,2019,https://www.imdb.com/title/tt6173484/,"The unlikely friendship that kindles between a struggling stand-up comedian from L.A., forced to move back home with his tail between his legs, and a tragically flawed, but charming and charismatic, alcoholic dermatologist.",91,,,,Tilted Windmill Productions,Not Rated,0,87,86,"Feb 21, 2020",,"Feb 21, 2020","['comedy', 'drama']","['Billy Crystal', 'Leonard Ouzts', 'Grace Gummer', 'Jill Hennessy', 'Chris Mangano', 'Ben Schwartz', 'John Hermann', 'Audrey Delaney', 'Eloise Mumford', 'David Castañeda', 'Matt Ratner', 'Nate Corddry', 'Gabrielle Nadig', 'Caitlin McGee', 'Peter Hoare', 'Lisa Gutberlet', 'Rick Rosenthal']",['Matt Ratner'],https://www.rottentomatoes.com/m/standing_up_falling_down,0
THE BIRTH OF A NATION,2016,https://www.imdb.com/title/tt4196450/,"Nat Turner, a literate slave and preacher in the antebellum South, orchestrates an uprising.",120,"$8,500,000","$7,004,254,","$16,779,212",BRON Studios,R,0,73,71,"Oct 7, 2016",,"Dec 21, 2016","['history', 'drama', 'biography']","['Jason Michael Berman', 'Henry Jackman', 'Steven Rosenblum', 'Armie Hammer', 'Colman Domingo', 'Esther Scott', 'Roger Guenveur Smith', 'Elliot Davis', 'Aunjanue Ellis', 'Aja Naomi King', 'Kevin Turen', 'Preston L. Holmes', 'Dwight Henry', 'Mark Boone Junior', 'Aaron L. Gilbert', 'Gabrielle Union', 'Nate Parker']",['Nate Parker'],https://www.rottentomatoes.com/m/the_birth_of_a_nation_2016,0
THE EAGLE,2011,https://www.imdb.com/title/tt1034389/,"In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.",114,"$25,000,000","$8,684,464,","$37,989,684",Focus Features,PG-13,0,39,41,"Feb 11, 2011",,"Feb 12, 2014","['action', 'history', 'drama', 'adventure']","['Charles Moore', 'Kevin Macdonald', 'Channing Tatum', 'Donald Sutherland', 'Duncan Kenworthy', 'Miles Ketley', 'Douglas Henshall', 'Julian Lewis Jones', ""Denis O'Hare"", 'Jamie Bell', 'Paul Ritter', 'Jeremy Brock', 'Tahar Rahim', 'Anthony Dod Mantle', ""Michael O'Connor"", 'Justine Wright', 'James Hayes', 'Tessa Ross', 'Mark Strong', 'Michael Carlin']",['Kevin Macdonald'],https://www.rottentomatoes.com/m/the-eagle-of-the-ninth,0
THE FATE OF THE FURIOUS,2017,https://www.imdb.com/title/tt4630562/,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",136,"$250,000,000","$98,786,705,","$1,236,005,118",Universal Pictures,PG-13,0,67,72,"Apr 14, 2017",,"Jun 27, 2017","['action', 'mysteryandthriller', 'adventure']","['Kurt Russell', 'Amanda Lewis', 'Vin Diesel', 'F. Gary Gray', 'Charlize Theron', 'Neal H. Moritz', 'Stephen F. Windon', 'Chris Ludacris Bridges', 'Jason Statham', 'Michael Fottrell', 'Michelle Rodriguez', 'Samantha Vincent', 'Paul Rubell', 'Helen Mirren', 'Chris Morgan', 'Tyrese Gibson', 'Dwayne Johnson', 'Scott Eastwood']",['F. Gary Gray'],https://www.rottentomatoes.com/m/the_fate_of_the_furious,0
THE LEGO NINJAGO MOVIE,2017,https://www.imdb.com/title/tt3014284/,"Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",101,,,,,PG,0,56,46,"Sep 22, 2017",,"Dec 12, 2017","['comedy', 'animation', 'adventure', 'action', 'kidsandfamily']","['Tom Wheeler', 'Michael Peña', 'Dave Franco', 'Paul Fisher', 'Jackie Chan', 'William Wheeler', 'Zach Woods', 'Abbi Jacobson', 'Alex Kauffman', 'Charlie Bean', 'Fred Armisen', 'David Burrows', 'Bob Logan', 'Dan Lin', 'John Whittington', 'Justin Theroux', 'Jared Stern', 'Kumail Nanjiani']","['Paul Fisher', 'Charlie Bean', 'Bob Logan']",https://www.rottentomatoes.com/m/the_lego_ninjago_movie,0
THE MORTAL INSTRUMENTS CITY OF BONES,2013,https://www.imdb.com/title/tt1538403/,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.",130,,,,,PG-13,0,13,58,"Aug 21, 2013",,"Apr 18, 2015","['action', 'fantasy', 'adventure']","['Jamie Campbell Bower', 'Bob Shaye', 'Robert Kulzer', 'Jemima West', 'Kevin Zegers', 'Jessica Postigo Paquette', 'Michael Lynne', 'Harald Zwart', 'Aidan Turner', 'CCH Pounder', 'Don Carmody', 'Godfrey Gao', 'François Séguin', 'Lily Collins', 'Robert Sheehan', 'Martin Moszkowicz', 'Jacqueline Carmody', 'Lena Headey', 'Geir Hartly Andreassen', 'Kevin Durand']",['Harald Zwart'],https://www.rottentomatoes.com/m/the_mortal_instruments_city_of_bones,0
THE TRIBES OF PALOS VERDES,2017,https://www.imdb.com/title/tt1507571/,"When the situation at her idyllic Palos Verdes home turns volatile, young Medina attempts to surf her way to happiness.",104,,"$796,","$11,603",Relativity Media,R,0,64,58,"Dec 1, 2017",,"Dec 1, 2017","['comedy', 'drama']","['Maika Monroe', 'Cassian Elwes', 'Elisabeth Rohm', 'Goran Visnjic', 'Brendan Malloy', 'Jeff Kwatinetz', 'Emmett Malloy', 'Cody Fern', 'Joy Nicholson', 'Justin Kirk', 'Karen Croner', 'Steve Matzkin', 'Alicia Silverstone', 'Jennifer Garner', 'Robbie Brenner', 'Noah Silver', 'Kevin McKeon']","['Emmett Malloy', 'Brendan Malloy']",https://www.rottentomatoes.com/m/the_tribes_of_palos_verdes,0
TOMORROWLAND,2015,https://www.imdb.com/title/tt1964418/,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.",130,"$190,000,000","$33,028,165,","$209,035,668",Walt Disney Pictures,PG,0,50,49,"May 22, 2015",,"Oct 13, 2015","['scifi', 'mysteryandthriller', 'adventure']","['Keegan-Michael Key', 'Thomas Robinson', 'Brad Bird', 'Damon Lindelof', 'Tim McGraw', 'Chris Bauer', 'Raffey Cassidy', 'Jeffrey Chernov', 'Pierce Gagnon', 'Walter Murch', 'Britt Robertson', 'Hugh Laurie', 'Claudio Miranda', 'Michael Giacchino', 'Craig Wood', 'George Clooney', 'Kathryn Hahn']",['Brad Bird'],https://www.rottentomatoes.com/m/tomorrowland_2015,0
WILD,2014,https://www.imdb.com/title/tt2305051/,A chronicle of one woman's one thousand one hundred mile solo hike undertaken as a way to recover from a recent personal tragedy.,115,"$15,000,000","$606,810,","$52,501,541",Bob Industries,R,0,88,75,"Dec 3, 2014",,"Jan 4, 2016","['drama', 'biography', 'adventure']","['Reese Witherspoon', 'Thomas Sadoski', 'John Paino', 'Nathan Ross', 'Yves Bélanger', 'W. Earl Brown', 'Kevin Rankin', 'Nick Eversman', 'Laura Dern', 'Keene McRae', 'Gaby Hoffmann', 'Jean-Marc Vallée', 'Bill Pohlad', 'Bergen Swanson', 'Bruna Papandrea', 'Nick Hornby', 'Mo McRae', 'Michiel Huisman']",['Jean-Marc Vallée'],https://www.rottentomatoes.com/m/wild_2014,0
13,2010,https://www.imdb.com/title/tt0798817/,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",91,,,"$3,701,600",Alliance Cinema,R,0,8,34,"Oct 28, 2011",,"Mar 14, 2017","['action', 'mysteryandthriller']","['Gela Babluani', 'Curtis ""50 Cent"" Jackson', 'Greg Pruss', 'Sam Riley', 'Jeanette Buerling', 'Mickey Rourke', 'Emmanuelle Chriqui', 'Gaby Hoffmann', 'David Zayas', 'Michael Shannon', 'Rick Schwartz', 'Ray Winstone', 'Valerio Morabito', 'Alexander Skarsgård', ""Simon O'leary"", 'Jason Statham']",['Gela Babluani'],https://www.rottentomatoes.com/m/13-2010,0
AMERICAN ASSASSIN,2017,https://www.imdb.com/title/tt1961175/,"After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.",111,"$33,000,000","$14,846,778,","$67,234,188",CBS Films,R,0,34,60,"Sep 15, 2017",,"Nov 21, 2017","['action', 'mysteryandthriller']","['Michael Finch', 'Lorenzo di Bonaventura', 'Michael Cuesta', 'Nick Wechsler', 'Stephen Schiff', 'Scott Adkins', 'Navid Negahban', 'Edward Zwick', 'Shiva Negar', 'Marshall Herskovitz', 'Enrique Chediak', 'Charlotte Vega', 'Sanaa Lathan', 'Taylor Kitsch', 'Daniel M. Stillman', ""Dylan O'Brien"", 'Conrad Buff', 'Joseph Long', 'David Suchet', 'Michael Keaton']",['Michael Cuesta'],https://www.rottentomatoes.com/m/american_assassin_2017,0
BLUE JAY,2016,https://www.imdb.com/title/tt5912454/,"Meeting by chance when they return to their tiny California hometown, two former high-school sweethearts reflect on their shared past.",80,,"$5,159,","$21,626",Duplass Brothers Productions,Unrated,0,91,77,"Oct 7, 2016",,"Oct 11, 2016",['drama'],"['Sarah Paulson', 'Mel Eslyn', 'Alex Lehmann', 'Mark Duplass', 'Xan Aranda', 'Chris Donlon', 'Julian Wass', 'Ian Bricke', 'Jay Duplass']",['Alex Lehmann'],https://www.rottentomatoes.com/m/blue_jay,0
DABANGG,2010,https://www.imdb.com/title/tt1620719/,"A corrupt police officer faces challenges from his family, gangsters and politicians.",126,"$9,370,000","$628,137,","$2,942,554",Arbaaz Khan Productions,Not Rated,0,60,60,,,"Nov 30, 2016",['action'],"['Sandeep Shirodkar', 'Dimple Kapadia', 'Salman Khan', 'Mahesh Limaye', 'Sajid Ali', 'Mahi Gill', 'Dilip Shukla', 'Pranav Dhiwar', 'Vinod Khanna', 'Mahesh Manjrekar', 'Anupam Kher', 'Tinu Anand', 'Abhinav Singh Kashyap', 'Sonu Sood', 'Wajid Ali', 'Arbaaz Khan', 'Om Puri']",['Abhinav Singh Kashyap'],https://www.rottentomatoes.com/m/dabangg_2010,0
EARTH TO ECHO,2014,https://www.imdb.com/title/tt2183034/,"After receiving a bizarre series of encrypted messages, a group of kids embark on an adventure with an alien who needs their help.",91,"$13,000,000","$8,364,658,","$45,681,062",Relativity Media,PG,0,50,47,"Jul 2, 2014",,"Oct 21, 2014","['kidsandfamily', 'drama', 'scifi', 'adventure']","['Jason Gray-Stanford', 'Cassius Willis', 'Drake Kemper', 'Sonya Leslie', 'Tiffany Espensen', 'Teo Halm', 'Jason Colbeck', 'Tucker Tooley', 'Ryan Kavanaugh', 'Mark B. Johnson', 'Mary Pat Gleason', 'Jack Kavanaugh', 'Ron Burkle', 'Robbie Brenner', 'Brian ""Astro"" Bradley', 'Dave Green', 'Reese C. Hartwig', 'Ella Linnea Wahlestedt', 'Andrew Panay', 'Henry Gayden']",['Dave Green'],https://www.rottentomatoes.com/m/earth_to_echo,0
ENDGAME,2015,https://www.imdb.com/title/tt2941396/,HD. A troubled middle-school boy from a poor Texas border town finds himself through his school's chess team.,90,,,,Avila Entertainment,Not Rated,0,50,29,"Sep 25, 2015",,"Oct 1, 2016",['drama'],"['Jamie Cobb', 'Valente Rodriguez', 'Betty Sullivan', 'Cassie Brennan', 'Jon Gries', 'Xavier Gonzalez', 'Sandra Avila', 'Francisco Bulgarelli', 'Ivan Cisneros', 'Carmen Marron', 'Ivonne Coll', 'Efren Ramirez', 'Youssef Delara', 'Rico Rodriguez', 'Hector Salinas', 'Alina Herrera', 'Justina Machado']",['Carmen Marron'],https://www.rottentomatoes.com/m/endgame_2015,0
GIRLS TRIP,2017,https://www.imdb.com/title/tt3564472/,"When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling and romancing to make the Big Easy blush.",122,"$19,000,000","$31,201,920,","$140,552,359",Perfect World Pictures,R,0,91,78,"Jul 21, 2017",,"Sep 28, 2017",['comedy'],"['Kenya Barris', 'Kate Walsh', 'Greg Gardiner', 'Mike Colter', 'Queen Latifah', 'James Lopez', 'Paul Millspaugh', 'Larenz Tate', 'Will Packer', 'David Newman', 'Tiffany Haddish', 'Regina Hall', 'Lara Grice', 'Jada Pinkett Smith', 'Tracy Oliver', 'Preston Holmes', 'Kofi Siriboe', 'Malcolm D. Lee', 'Deborah Ayorinde']",['Malcolm D. Lee'],https://www.rottentomatoes.com/m/girls_trip,0
HOSPITALITY,2018,https://www.imdb.com/title/tt6964844/,A woman with a checkered past must protect her son when a man brings trouble to her isolated bed and breakfast.,80,,,,Kandoo Films,Not Rated,0,20,44,"Dec 7, 2018",,"Dec 7, 2018",['mysteryandthriller'],"['Alex Ivany', 'Sam Trammell', 'Emmanuelle Chriqui', 'Eli Arenson', 'Conner McVicker', 'Howard Barish', 'Jim Beaver', 'Ali Helnwein', 'Christina E. Kim', 'Jessica Basista', 'JR Bourne', 'Nick Chakwin', 'David Guglielmo']","['Nick Chakwin', 'David Guglielmo']",https://www.rottentomatoes.com/m/hospitality,0
MARY MAGDALENE,2018,https://www.imdb.com/title/tt5360996/,Twelve men heard and spread the message of Jesus. Only one woman understood it.,120,,"$46,646,","$11,710,110",See-Saw Films,R,0,45,48,"Apr 12, 2019",,"Apr 19, 2019",['drama'],"['Liz Watts', 'Denis Ménochet', 'Hadas Yaron', 'Emile Sherman', 'Garth Davis', 'Lubna Azabal', 'Philippa Goslett', 'Helen Edmundson', 'Ariane Labed', 'Alexandre de Franceschi', 'Chiwetel Ejiofor', 'Tchéky Karyo', 'Rooney Mara', 'Iain Canning', 'Greig Fraser', 'Joaquin Phoenix', 'Tahar Rahim', 'Rose Garnett', 'Ryan Corr', 'Melanie Oliver']",['Garth Davis'],https://www.rottentomatoes.com/m/mary_magdalene_2019,0
MOONRISE KINGDOM,2012,https://www.imdb.com/title/tt1748122/,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",94,,,,,PG-13,0,93,86,"Jun 29, 2012",,"Dec 10, 2015","['comedy', 'drama', 'romance']","['Bill Murray', 'Bob Balaban', 'Bruce Willis', 'Kara Hayward', 'Jared Gilman', 'Sam Hoffman', 'Tilda Swinton', 'Steven Rales', 'Mark Roybal', 'Scott Rudin', 'Roman Coppola', 'Jeremy Dawson', 'Lucas Hedges', 'Edward Norton', 'Robert Yeoman', 'Frances McDormand', 'Charlie Kilgore', 'Wes Anderson']",['Wes Anderson'],https://www.rottentomatoes.com/m/moonrise_kingdom,0
NO TEARS FOR THE DEAD,2014,https://www.imdb.com/title/tt3697566/,"A hit man traumatized from accidentally killing a young girl during a job is given the mission to eliminate her mother, and begins the ultimate fight to save her life.",116,,"$8,329,","$89,813",Dice Film,Not Rated,0,43,55,"Jun 20, 2014",,"Mar 27, 2017",['action'],"['Dana Lee', 'Kim Joon-seong', 'Jeong Tae-seong', 'Choi Young-rock', 'Kim Min-hee', 'Brian Tee', 'Alexander Wraith', 'Choi Eui-young', 'Jang Dong-gun', 'Nam Na-yeong', 'Kim Sung-woo', 'Kim Hee-won', 'Lee Mo-gae', 'Lee Jeong-beom', 'Yang Hong-sam', 'Anthony Dilio']",['Lee Jeong-beom'],https://www.rottentomatoes.com/m/no_tears_for_the_dead,0
QUEEN OF THE DESERT,2015,https://www.imdb.com/title/tt1837636/,"A chronicle of Gertrude Bell's life, a traveler, writer, archaeologist, explorer, cartographer, and political attaché for the British Empire at the dawn of the twentieth century.",128,"$15,000,000",,"$1,592,853",Benaroya Pictures,PG-13,0,18,34,"Apr 14, 2017",,"May 6, 2017","['history', 'drama', 'biography']","['Michael Benaroya', 'Damian Lewis', 'Nicole Kidman', 'Harmon Kaslow', 'David Calder', 'Sarah Crowden', 'Mark Lewis Jones', 'Peter Zeitlinger', 'Robert Pattinson', 'Cathy Gesualdo', 'Cassian Elwes', 'Werner Herzog', 'Christopher Fulford', 'Jenny Agutter', 'James Franco', 'Jonathan Debin', 'John Aglialoro', 'Nick N. Raslan', 'Holly Earl']",['Werner Herzog'],https://www.rottentomatoes.com/m/queen_of_the_desert,0
THE BALLAD OF BUSTER SCRUGGS,2018,https://www.imdb.com/title/tt6412452/,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",133,,,,,R,0,89,77,"Nov 8, 2018",,"Nov 16, 2018","['western', 'drama', 'comedy']","['Tom Waits', 'Joel Coen', 'Liam Neeson', 'Ethan Coen', 'Bruno Delbonnel', 'Ralph Ineson', 'Harry Melling', 'Stephen Root', 'Willie Watson', 'Zoe Kazan', 'Roderick Jaynes', 'David Krumholtz', 'Megan Ellison', 'James Franco', 'Tim Blake Nelson', 'Sue Naegle']","['Joel Coen', 'Ethan Coen']",https://www.rottentomatoes.com/m/the_ballad_of_buster_scruggs,0
THE CHILDHOOD OF A LEADER,2015,https://www.imdb.com/title/tt2815902/,A chronicle of the childhood of a post-World War I leader.,115,"$3,000,000",,"$245,546",Scion Pictures,,0,89,54,"Jul 22, 2016",,"Nov 22, 2016","['history', 'drama', 'mysteryandthriller']","['Patrick Murray', 'Chris Coen', 'Matthew Perniciaro', 'Jason Cloth', 'Aaron L. Gilbert', 'Liam Cunningham', 'Sophie Lane Curtis', 'Brady Corbet', 'Antoine de Clermont-Tonnerre', 'Helena Danielsson', 'Robert Pattinson', 'Bérénice Bejo', 'Stacy Martin']",['Brady Corbet'],https://www.rottentomatoes.com/m/the_childhood_of_a_leader,0
THE FP,2011,https://www.imdb.com/title/tt1296373/,"In a post apocalyptic future, two rival gangs fight for control of Frazier Park by playing ""Beat Beat Revelation"", a deadly version of Dance, Dance, Revolution(TM).",82,"$60,000","$15,465,","$40,557",248 Productions,R,0,50,54,"Mar 16, 2012",,"Dec 5, 2015",['comedy'],"['Bryan Goddard', 'Rachel Robinson', 'James DeBello', 'Jason Blum', 'Caitlyn Folley', 'Brandon Trost', 'Sean Whalen', 'Ron Trost', 'Nick Principe', 'Jason Trost', 'Brandon Barrera', 'Steven Schneider', 'Art Hsu', 'Lee Valmassy', 'Hal Tryon', 'Christian Agypt']","['Brandon Trost', 'Jason Trost']",https://www.rottentomatoes.com/m/the_fp,0
THE WARRIORS WAY,2010,https://www.imdb.com/title/tt1032751/,A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.,100,"$42,000,000","$3,048,665,","$11,103,434",Rogue,R,1,31,47,"Dec 3, 2010",,"Jun 23, 2011","['action', 'western', 'fantasy', 'sportsandfitness']","['Analin Rudd', 'Kate Bosworth', 'Nansun Shi', 'Geoffrey Rush', 'Michael Peyser', 'Ti Lung', 'Jang Dong-gun', 'Markus Hamilton', 'Danny Huston', 'Eui Hong', 'Seung Jae Tcha', 'Tony Cox', 'Satoru Iseki', 'Barrie M. Osborne', 'Sngmoo Lee', 'Tim White', 'Jooick Lee']",['Sngmoo Lee'],https://www.rottentomatoes.com/m/the-warriors-way,1
