title,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award,is_holiday,success
RAPPIN,An ex-con and break-dancer helps save a neighborhood from a greedy developer while trying to win a rap contest.,1985,92,4810613,6890828,Cannon Pictures,PG,1985-05-10,['Joel Silberg'],"['Mario Van Peebles', 'Eriq La Salle', 'Melvin Plowden', 'Richie Abanes']","['Drama', 'Music', 'Musical']",0,False,True
INNERSPACE,"A test pilot is miniaturized in a secret experiment, and accidentally injected into a hapless store clerk.",1987,120,61513177,58992982,Warner Bros,PG,1987-07-01,['Joe Dante'],"['Dennis Quaid', 'Martin Short', 'Meg Ryan', 'Kevin McCarthy']","['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Thriller']",0,False,False
SUSPECT,"When a homeless man is accused of murdering a Justice Department file clerk, a public defender is tasked with mounting his legal defense.",1987,121,33034854,42791300,TriStar Pictures,R,1987-10-23,['Peter Yates'],"['Cher', 'Dennis Quaid', 'Liam Neeson', 'John Mahoney']","['Crime', 'Drama', 'Thriller']",0,False,True
BULL DURHAM,A fan who has an affair with one minor-league baseball player each season meets an up-and-coming pitcher and the experienced catcher assigned to him.,1988,108,15314260,111331892,The Mount Company,R,1988-06-15,['Ron Shelton'],"['Kevin Costner', 'Susan Sarandon', 'Tim Robbins', 'Trey Wilson']","['Comedy', 'Romance', 'Sport']",0,False,True
MILLERS CROSSING,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",1990,115,27722677,10060181,Circle Films,R,1990-10-05,"['Joel Coen', 'Ethan Coen']","['Gabriel Byrne', 'Albert Finney', 'John Turturro', 'Marcia Gay Harden']","['Crime', 'Drama', 'Thriller']",0,False,False
THE PIANO,"In the mid-19th century, a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a wealthy landowner, but is soon lusted after by a local worker on the plantation.",1993,121,12537557,71975528,CiBy 2000,R,1994-02-11,['Jane Campion'],"['Holly Hunter', 'Harvey Keitel', 'Sam Neill', 'Anna Paquin']","['Drama', 'Music', 'Romance']",0,False,True
GUMBY THE MOVIE,"In this offshoot of the 1950s ""claymation"" cartoon series, the crazy Blockheads threaten to ruin Gumby's benefit concert by replacing the entire city of Clokeytown with robots.",1995,90,4755057,96969,Premavision Inc,Unrated,1995-12-01,['Art Clokey'],"['Dal McKennon', 'Art Clokey', 'Gloria Clokey', 'Manny La Carruba']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Music', 'Sci-Fi', 'Western']",0,False,False
BLOOD AND WINE,"A man who has failed as a father and husband commits a heist to make money for his fledging business, but things become complicated when his wife interferes.",1996,101,36289623,1805685,Recorded Picture Company RPC,R,1997-02-21,['Bob Rafelson'],"['Jack Nicholson', 'Michael Caine', 'Stephen Dorff', 'Jennifer Lopez']","['Crime', 'Drama', 'Thriller']",1,False,False
FROM HELL,"In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.",2001,122,51148418,108957991,Twentieth Century Fox,R,2001-10-19,"['Albert Hughes', 'Allen Hughes']","['Johnny Depp', 'Heather Graham', 'Ian Holm', 'Robbie Coltrane']","['Horror', 'Mystery', 'Thriller']",0,False,True
HEARTBREAKERS,A mother and daughter con team seduce and scam wealthy men.,2001,123,51148418,84404255,Davis Entertainment,PG-13,2001-03-23,['David Mirkin'],"['Sigourney Weaver', 'Jennifer Love Hewitt', 'Gene Hackman', 'Ray Liotta']","['Comedy', 'Crime', 'Romance']",1,False,True
PHONE BOOTH,"Publicist Stuart Shepard finds himself trapped in a phone booth, pinned down by an extortionist's sniper rifle. Unable to leave or receive outside help, Stuart's negotiation with the caller leads to a jaw-dropping climax.",2002,81,18702295,140752237,Fox 2000 Pictures,R,2003-04-04,['Joel Schumacher'],"['Colin Farrell', 'Kiefer Sutherland', 'Forest Whitaker', 'Radha Mitchell']","['Crime', 'Thriller']",0,False,True
MADISON,"A story about a man's personal struggle to victory in the 1971 Madison, Indiana hydro-plane regatta.",2001,99,19728675,755918,Addison Street Films,PG,2005-09-28,['William Bindley'],"['Jim Caviezel', 'Mary McCormack', 'Jake Lloyd', 'Bruce Dern']","['Drama', 'Sport']",0,False,False
THE DAY AFTER TOMORROW,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",2004,124,171261911,757168872,Twentieth Century Fox,PG-13,2004-05-28,['Roland Emmerich'],"['Dennis Quaid', 'Jake Gyllenhaal', 'Emmy Rossum', 'Dash Mihok']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",0,False,True
ARTHUR AND THE INVISIBLES,"Ten-year-old Arthur, in a bid to save his grandfather's house from being demolished, goes looking for some much-fabled hidden treasure in the land of the Minimoys, tiny people living in harmony with nature.",2006,94,110405486,139426221,EuropaCorp,PG,2007-01-12,['Luc Besson'],"['Freddie Highmore', 'Mia Farrow', 'Madonna', 'Ron Crawford']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0,False,True
WEDDING CRASHERS,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",2005,119,53007885,382276496,New Line Cinema,R,2005-07-15,['David Dobkin'],"['Owen Wilson', 'Vince Vaughn', 'Rachel McAdams', 'Christopher Walken']","['Comedy', 'Romance']",0,False,True
CAMILLE,A twisted honeymoon adventure about a young couple on their way to Niagara Falls.,2008,94,7212468,758893,AMark Entertainment,PG-13,2009-06-04,['Gregory Mackenzie'],"['Sienna Miller', 'James Franco', 'David Carradine', 'Scott Glenn']","['Comedy', 'Drama', 'Fantasy', 'Romance']",0,False,False
MAX PAYNE,"Coming together to solve a series of murders in New York City are a police detective and an assassin, who will be hunted by the police, the mob, and a ruthless corporation.",2008,100,42072730,104661241,Abandon Entertainment,PG-13,2008-10-17,['John Moore'],"['Mark Wahlberg', 'Mila Kunis', 'Beau Bridges', 'Ludacris']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,True
ONG BAK 2,A young Thai boxer learns the skills and inner meaning of martial arts.,2008,98,360623400,10742566,Sahamongkol Film International,R,2008-12-04,"['Tony Jaa', 'Panna Rittikrai']","['Tony Jaa', 'Sarunyu Wongkrachang', 'Sorapong Chatree', 'Primrata Dej-Udom']",['Action'],0,False,False
THE REEF,One fish must find his destiny to save his home and the love of his life from a bullying shark.,2006,77,12837847,18256372,Arc Productions,G,2007-01-19,"['Howard E. Baker', 'John Fox', 'Kyung Ho Lee']","['John Rhys-Davies', 'Bruno Alexander', 'Reedy Gibbs', 'Jimmy Bennett']","['Animation', 'Family']",0,False,True
HERO WANTED,"After he awakens in a hospital, a man tracks down and murders the man that left him and a bank teller for dead during a robbery, only to end up having the slain thief's associates come after him in retaliation.",2008,94,8414546,813638,Millennium Films,R,2008-07-10,['Brian Smrz'],"['Cuba Gooding Jr.', 'Ray Liotta', 'Tommy Flanagan', 'Norman Reedus']","['Action', 'Crime', 'Thriller']",0,False,False
THE MUPPETS,A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.,2011,103,51776237,190058182,Walt Disney Pictures,PG,2011-11-23,['James Bobin'],"['Amy Adams', 'Jason Segel', 'Chris Cooper', 'Rashida Jones']","['Adventure', 'Comedy', 'Family', 'Musical']",0,False,True
THE HAPPYTIME MURDERS,"When the puppet cast of a '90s children's TV show begin to get murdered one by one, a disgraced LAPD detective-turned-private eye puppet takes on the case.",2018,91,41227205,28350354,STX Entertainment,R,2018-08-24,['Brian Henson'],"['Melissa McCarthy', 'Elizabeth Banks', 'Maya Rudolph', 'Leslie David Baker']","['Action', 'Comedy', 'Crime', 'Fantasy', 'Mystery', 'Thriller']",0,False,False
MEEKS CUTOFF,Settlers traveling through the Oregon desert in 1845 find themselves stranded in harsh conditions.,2010,104,2373803,1430521,Evenstar Films,PG,2011-04-15,['Kelly Reichardt'],"['Michelle Williams', 'Bruce Greenwood', 'Paul Dano', 'Will Patton']","['Adventure', 'Drama', 'Thriller', 'Western']",0,False,False
GRUDGE MATCH,"A pair of aging boxing rivals are coaxed out of retirement to fight one final bout, thirty years after their last match.",2013,113,44439274,49891151,Callahan Filmworks,PG-13,2013-12-25,['Peter Segal'],"['Robert De Niro', 'Sylvester Stallone', 'Kim Basinger', 'Alan Arkin']","['Comedy', 'Drama', 'Sport']",1,True,True
MIRROR MIRROR,An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,2012,106,95816680,206308556,Relativity Media,PG,2012-03-30,['Tarsem Singh'],"['Lily Collins', 'Julia Roberts', 'Armie Hammer', 'Nathan Lane']","['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",0,False,True
ROBOT  FRANK,"In the near future, an ex-jewel thief receives a gift from his son: a robot butler programmed to look after him. But soon the two companions try their luck as a heist team.",2012,89,2818137,5418064,Dog Run Pictures,PG-13,2012-09-19,['Jake Schreier'],"['Peter Sarsgaard', 'Frank Langella', 'Susan Sarandon', 'Liv Tyler']","['Comedy', 'Crime', 'Drama', 'Sci-Fi']",0,False,True
CAMP XRAY,A soldier assigned to Guantanamo Bay befriends a man who has been imprisoned there.,2014,117,1093247,87048,GNK Productions,R,2014-10-17,['Peter Sattler'],"['Kristen Stewart', 'Payman Maadi', 'Lane Garrison', 'Tara Holt']","['Drama', 'War']",0,False,False
ALL IN ALL AZHAGU RAJA,"Azhagu Raja, who owns a cable channel, always mocks Priya, who fails at everything. Eventually, love blossoms between them, but their families' bitter past becomes an obstacle to their marriage.",2013,160,277745463,613470,Studio Green,Unrated,2013-11-02,['M. Rajesh'],"['Karthi', 'Prabhu', 'Kajal Aggarwal', 'Santhanam']","['Comedy', 'Romance']",0,False,False
10 DAYS IN A MADHOUSE,"In 1887, at age 23, reporter Nellie Bly, working for Joseph Pulitzer, feigns mental illness to go undercover in notorious Blackwell's Island a woman's insane asylum to expose corruption, abuse and murder.",2015,111,131034,15959,Pendragon Pictures,R,2015-11-11,['Timothy Hines'],"['Caroline Barry', 'Christopher Lambert', 'Kelly LeBrock', 'Julia Chantrey']",['Drama'],0,False,False
KRAMPUS,A boy who has a bad Christmas accidentally summons a festive demon to his family home.,2015,98,16379268,67208185,Legendary Entertainment,PG-13,2015-12-04,['Michael Dougherty'],"['Adam Scott', 'Toni Collette', 'David Koechner', 'Allison Tolman']","['Comedy', 'Drama', 'Fantasy', 'Horror']",0,False,True
REALIVE,"Marc will die of cancer and chooses cryogenic freeze and hopes to be thawed, when there's a solution to his condition. He's the first human brought back 68 years later. Can he adapt mentally and physically?",2016,112,7548434,135526,Arcadia Motion Pictures,Unrated,2017-01-13,['Mateo Gil'],"['Tom Hughes', 'Charlotte Le Bon', 'Oona Chaplin', 'Barry Ward']","['Drama', 'Sci-Fi']",0,False,False
GODS NOT DEAD 2,"When a high school teacher is asked a question in class about Jesus, her response lands her in deep trouble.",2016,120,5391738,26406414,Believe Entertainment II,PG,2016-04-01,['Harold Cronk'],"['Melissa Joan Hart', 'Jesse Metcalfe', 'David A.R. White', 'Hayley Orrantia']",['Drama'],0,False,True
THE SPY WHO DUMPED ME,Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.,2018,117,41227205,77650884,BRON Studios,R,2018-08-03,['Susanna Fogel'],"['Justin Theroux', 'Blanka Györfi-Tóth', 'Vilma Szécsi', 'Mila Kunis']","['Action', 'Adventure', 'Comedy']",0,False,True
WAXWORK,A wax museum owner uses his horror exhibits to unleash evil on the world.,1988,95,6563254,1767952,Palla,R,1988-06-17,['Anthony Hickox'],"['Zach Galligan', 'Deborah Foreman', 'Jennifer Bassey', 'Joe Baker']","['Comedy', 'Horror']",0,False,False
DO THE RIGHT THING,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",1989,120,13566705,77842511,40 Acres  A Mule Filmworks,R,1989-07-21,['Spike Lee'],"['Danny Aiello', 'Ossie Davis', 'Ruby Dee', 'Richard Edson']","['Comedy', 'Drama']",0,False,True
THE SUM OF US,"A widowed father has to deal with two complex issues: while he is searching for ""Miss Right,"" his son, who is in his 20s and gay, is searching for ""Mr. Right.""",1994,100,6051147,1338524,Australian Film Finance Corporation AFFC,R,1995-03-08,"['Geoff Burton', 'Kevin Dowling']","['Jack Thompson', 'Russell Crowe', 'John Polson', 'Deborah Kennedy']","['Comedy', 'Drama']",0,False,False
COURAGE UNDER FIRE,"A U.S. Army officer, despondent about a deadly mistake he made, investigates a female chopper commander's worthiness for the Medal of Honor.",1996,116,75878304,166372779,Fox 2000 Pictures,R,1996-07-12,['Edward Zwick'],"['Denzel Washington', 'Meg Ryan', 'Lou Diamond Phillips', 'Michael Moriarty']","['Action', 'Drama', 'Mystery', 'Thriller', 'War']",0,False,True
DOWN TO EARTH,"After dying before his time, an aspiring black comic gets a second shot at life - by being placed in the body of a wealthy white businessman.",2001,87,71607786,104030772,3 Arts Entertainment,PG-13,2001-02-16,"['Chris Weitz', 'Paul Weitz']","['Chris Rock', 'Regina King', 'Chazz Palminteri', 'Eugene Levy']","['Comedy', 'Fantasy']",0,False,True
THE MAN FROM ELYSIAN FIELDS,A failed novelist's inability to pay the bills strains relations with his wife and leads him to work at an escort service where he becomes entwined with a wealthy woman whose husband is a successful writer.,2001,106,9498992,2932106,CineSon Entertainment,R,2002-11-28,['George Hickenlooper'],"['Andy Garcia', 'Mick Jagger', 'Julianna Margulies', 'Olivia Williams']","['Drama', 'Romance']",0,True,False
THE PINK PANTHER,Bumbling Inspector Clouseau must solve the murder of a famous soccer coach and find out who stole the infamous Pink Panther diamond.,2006,93,102702777,210689481,MetroGoldwynMayer MGM,PG,2006-02-10,['Shawn Levy'],"['Steve Martin', 'Kevin Kline', 'Jean Reno', 'Emily Mortimer']","['Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']",0,False,True
THE EYE,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.",2008,98,14424936,69732929,Lionsgate,PG-13,2008-02-01,"['David Moreau', 'Xavier Palud']","['Jessica Alba', 'Alessandro Nivola', 'Parker Posey', 'Rade Serbedzija']","['Drama', 'Horror', 'Mystery', 'Thriller']",0,False,True
PASSENGERS,A grief counselor working with a group of plane-crash survivors finds herself at the root of a mystery when her clients begin to disappear.,2008,93,30051950,6970819,TriStar Pictures,PG-13,2008-09-26,['Rodrigo García'],"['Anne Hathaway', 'Patrick Wilson', 'David Morse', 'Andre Braugher']","['Romance', 'Thriller']",0,False,False
THE FALL,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",2006,117,38513541,4710803,Googly Films,R,2008-05-30,['Tarsem Singh'],"['Lee Pace', 'Catinca Untaru', 'Justine Waddell', 'Kim Uylenbroek']","['Adventure', 'Drama', 'Fantasy']",0,False,False
THE TREATMENT,"Jake Singer is at loose ends in New York City, and neck deep in psychoanalysis with the outrageous Dr. Morales, when he meets the enigmatic and beautiful widow Allegra Marshall.",2006,86,1155406,107008,Shrinkwrap,Unrated,2006-04-28,['Oren Rudavsky'],"['Chris Eigeman', 'Ian Holm', 'Famke Janssen', 'Stephanie March']","['Comedy', 'Drama', 'Romance']",0,False,False
HEY GOOD LOOKING,"Love stories, a beauty parlor,a Moroccan nanny, children to educate and family feasts are what Isa,Alice,Léa and Nina share together because they are united by their Sephardi families and their friendship.",2006,85,7959465,9412658,Liaison Cinmatographique,,2006-05-10,['Lisa Azuelos'],"['Michèle Laroque', 'Aure Atika', 'Valérie Benguigui', 'Géraldine Nakache']","['Comedy', 'Romance']",0,False,True
A MATADORS MISTRESS,"The film starts in the trip from Sevilla to Linares, where Manolete stops in Córdoba to see his mother. He will be remembering some passages of his life.",2008,92,33658184,871248,Iberoamericana Films Produccin,Unrated,2010-03-31,['Menno Meyjes'],"['Adrien Brody', 'Penélope Cruz', 'Santiago Segura', 'Juan Echanove']","['Biography', 'Drama', 'Romance']",1,False,False
REDLINE,A gorgeous young automobile fanatic--and front to the hottest unsigned band on the West coast--finds herself caught up in illegal drag-racing competitions organized by exotic car fanatics.,2007,95,32454042,10319610,Chicago Pictures,PG-13,2007-04-13,['Andy Cheng'],"['Nathan Phillips', 'Nadia Bjorlin', 'Eddie Griffin', 'Angus Macfadyen']",['Action'],0,False,False
THE ART OF WAR II BETRAYAL,Agent Neil Shaw is called out of retirement and finds himself in the midst of a plot to assassinate several leading Senators with himself set-up to take the rap for a recent killing.,2008,103,15987637,74255,Stage 6 Films,R,2008-08-12,['Josef Rusnak'],"['Wesley Snipes', 'Lochlyn Munro', 'Athena Karkanis', 'Winston Rekert']","['Action', 'Thriller']",0,False,False
SHAOLIN,"After ambushing and killing his rival, losing everything in the process, dispirited warlord Hou Jie turns to a Shaolin monastery seeking salvation.",2011,131,33366908,49455480,Emperor Classic Films,R,2013-02-18,['Benny Chan'],"['Shaoqun Yu', 'Chen Zhiui', 'Xing Yu', 'Jing Wu']","['Action', 'Drama']",0,False,True
THE SPECTACULAR NOW,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",2013,95,2777454,7686429,Andrew Lauren Productions,R,2013-09-13,['James Ponsoldt'],"['Miles Teller', 'Shailene Woodley', 'Kyle Chandler', 'Jennifer Jason Leigh']","['Comedy', 'Drama', 'Romance']",0,False,True
NO ONE LIVES,A gang of ruthless highway killers kidnap a wealthy couple traveling cross country only to shockingly discover that things are not what they seem.,2012,86,3269039,1182156,Milk  Media,R,2013-05-10,['Ryûhei Kitamura'],"['Luke Evans', 'Gary Grubbs', 'Adelaide Clemens', 'Derek Magyar']","['Horror', 'Thriller']",0,False,False
MATERIAL,"Cassim is a young Muslim man who works in his father's fabric shop in Johannesburg. However, Cassim wants to be a stand-up comedian, which his father disproves of. When he gets a gig at a local bar, he has to find a way of keeping it a secret.",2012,94,2254510,1125328,TOM Pictures,Unrated,2012-02-10,['Craig Freimond'],"['Riaad Moosa', 'Vincent Ebrahim', 'Joey Rasdien', 'Denise Newman']","['Comedy', 'Drama']",0,False,False
SHERLOCK GNOMES,"Garden gnomes, Gnomeo (James McAvoy) and Juliet (Emily Blunt), recruit renowned detective Sherlock Gnomes (Johnny Depp) to investigate the mysterious disappearance of other garden ornaments.",2018,86,60810128,93274263,MetroGoldwynMayer MGM,PG,2018-03-23,['John Stevenson'],"['Johnny Depp', 'James McAvoy', 'Emily Blunt', 'Kelly Asbury']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery', 'Romance']",0,False,True
NEED FOR SPEED,"Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross-country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.",2014,132,72154323,222232732,Dreamworks Pictures,PG-13,2014-03-14,['Scott Waugh'],"['Aaron Paul', 'Dominic Cooper', 'Imogen Poots', 'Kid Cudi']","['Action', 'Thriller']",0,False,True
BILLIONAIRE RANSOM,Students at a reforming school for rebellious rich kids take matters into their own hands after the campus is taken hostage by a group of criminals.,2016,107,12077494,35897,Pinewood Pictures,Unrated,2016-08-19,['Jim Gillespie'],"['Jeremy Sumpter', 'Phoebe Tonkin', 'Hari Dhillon', 'Sebastian Koch']","['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",0,False,False
ZOOTOPIA,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2016,108,161752157,1104004365,Walt Disney Pictures,PG,2016-03-04,"['Byron Howard', 'Rich Moore', 'Jared Bush']","['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate']","['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']",0,False,True
THE CLIFF,"A mass suicide involving members of a cult takes place in the Canary Islands. Gabriel's younger sister, Cordelia, who he hasn't seen for years, was one of the cult followers. Gabriel decides to travel there and find out what happened.",2016,99,2695869,103703,Lamia Producciones,Unrated,2016-06-03,['Helena Taberna'],"['Daniel Grao', 'Juana Acosta', 'Goya Toledo', 'Ingrid García Jonsson']","['Romance', 'Thriller']",0,False,False
THE KEEPER,"The love story of a young English woman and a German PoW, who together overcome prejudice, public hostility and personal tragedy.",2018,120,11,1975312,Lieblingsfilm,,2020-10-02,['Marcus H. Rosenmüller'],"['David Kross', 'Freya Mavor', 'John Henshaw', 'Harry Melling']","['Biography', 'Drama', 'Romance', 'Sport', 'War']",0,False,True
THE HEAD HUNTER,A medieval warrior's gruesome collection of heads is missing only one - the monster that killed his daughter years ago.,2018,72,30920,392120,Brayne Studios,,2019-04-05,['Jordan Downey'],"['Christopher Rygh', 'Cora Kaufman', 'Aisha Ricketts']","['Fantasy', 'Horror']",0,False,True
ALWAYS,The spirit of a recently deceased expert pilot mentors a newer pilot while watching him fall in love with the girlfriend that he left behind.,1989,122,64702749,154733057,Universal Pictures,PG,1989-12-22,['Steven Spielberg'],"['Richard Dreyfuss', 'Holly Hunter', 'Brad Johnson', 'John Goodman']","['Drama', 'Fantasy', 'Romance']",1,False,True
FLETCH LIVES,"After receiving an inheritance in Louisiana, Los Angeles reporter Irvin Fletcher heads to the Belle Isle plantation where he gets himself into hilarious trouble.",1989,95,16697483,82341471,Universal Pictures,PG,1989-03-17,['Michael Ritchie'],"['Chevy Chase', 'Hal Holbrook', 'Julianne Phillips', 'R. Lee Ermey']","['Comedy', 'Crime', 'Mystery']",0,False,True
NIGHT ON EARTH,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,1991,129,6650796,3845695,Victor Company of Japan JVC,R,1991-12-12,['Jim Jarmusch'],"['Winona Ryder', 'Gena Rowlands', 'Lisanne Falk', 'Alan Randolph Scott']","['Comedy', 'Drama']",0,False,False
JASON GOES TO HELL THE FINAL FRIDAY,Serial killer Jason Voorhees' supernatural origins are revealed.,1993,87,5373238,28540974,New Line Cinema,R,1993-08-13,['Adam Marcus'],"['John D. LeMay', 'Kari Keegan', 'Kane Hodder', 'Steven Williams']","['Fantasy', 'Horror', 'Thriller']",0,False,True
EXIT TO EDEN,"Elliot heads for the sexual fantasy island, Eden. He takes some photos of diamond smugglers. They and undercover cops want the photos and follow him to Eden.",1994,113,43659075,11947864,Savoy Pictures,R,1994-10-14,['Garry Marshall'],"['Dana Delany', 'Dan Aykroyd', ""Rosie O'Donnell"", 'Paul Mercurio']","['Comedy', 'Crime', 'Romance', 'Thriller']",0,False,False
FIRST KNIGHT,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",1995,134,93402919,216695513,Columbia Pictures,PG-13,1995-07-07,['Jerry Zucker'],"['Sean Connery', 'Richard Gere', 'Julia Ormond', 'Ben Cross']","['Action', 'Adventure', 'Drama', 'Romance']",0,False,True
THE DEVILS OWN,"A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.",1997,111,145127663,227056336,Columbia Pictures,R,1997-03-26,['Alan J. Pakula'],"['Harrison Ford', 'Brad Pitt', 'Margaret Colin', 'Rubén Blades']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,True
HANGING UP,"A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father, to whom none of them was particularly close.",2000,94,90178048,77974018,Columbia Pictures,PG-13,2000-02-18,['Diane Keaton'],"['Diane Keaton', 'Meg Ryan', 'Lisa Kudrow', 'Walter Matthau']","['Comedy', 'Drama']",0,False,False
HOW THE GRINCH STOLE CHRISTMAS,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",2000,104,184865000,546474743,Universal Pictures,PG,2000-11-17,['Ron Howard'],"['Jim Carrey', 'Taylor Momsen', 'Kelley', 'Jeffrey Tambor']","['Comedy', 'Family', 'Fantasy']",0,False,True
BIRTHDAY GIRL,A thirtysomething bank clerk from St Albans has his small-town life exploded by the arrival of his Russian mail-order bride.,2001,93,18997984,23632174,FilmFour,R,2002-02-01,['Jez Butterworth'],"['Nicole Kidman', 'Vincent Cassel', 'Ben Chaplin', 'Mathieu Kassovitz']","['Comedy', 'Crime', 'Thriller']",0,False,True
PROXIMITY,"An inmate serving time for vehicular homicide, overhears prison guards discussing plans for a murder and becomes a target himself.",2001,100,8768300,27136,Warner Bros,R,2002-09-06,['Scott Ziehl'],"['Rob Lowe', 'Jonathan Banks', 'Kelly Rowan', ""Terrence 'T.C.' Carson""]","['Action', 'Crime', 'Mystery', 'Thriller']",0,False,False
THE HUMAN STAIN,"When a disgraced former college dean has a romance with a mysterious younger woman haunted by her dark, twisted past, he is forced to confront a shocking fact about his own life that he has kept secret for fifty years.",2003,106,42197445,32286767,Miramax,R,2003-12-18,['Robert Benton'],"['Anthony Hopkins', 'Nicole Kidman', 'Ed Harris', 'Gary Sinise']","['Drama', 'Romance', 'Thriller']",2,False,False
3 BLIND MICE,"Thomas snoops on people using their web cams, but when he witnesses a murder he calls the police who discover several women have been murdered in the last years in a similar way.",2003,93,6751591,58710,CalderaDe Fanti Entertainment,R,2003-10-08,['Mathias Ledoux'],"['Edward Furlong', 'Emilia Fox', 'Chiwetel Ejiofor', 'Sara Stewart']","['Crime', 'Thriller']",0,False,False
HIPNOS,"A woman suffers a traumatic incident as a young girl, whereas she doesn't know which reality is the real one.",2004,93,3425238,2264371,DeAPlaneta,Unrated,2004-10-08,['David Carreras'],"['Cristina Brondo', 'Demián Bichir', 'Marisol Membrillo', 'Julián Villagrán']","['Drama', 'Horror', 'Thriller']",0,False,False
SORRY HATERS,"Against the anxieties and fears of post-9/11 America, an Arab cab driver picks up a troubled professional woman with unexpected results.",2005,83,265039,9447,IFC Productions,Unrated,2006-03-01,['Jeff Stanzler'],"['Robin Wright', 'Abdellatif Kechiche', 'Élodie Bouchez', 'Aasif Mandvi']","['Drama', 'Thriller']",0,False,False
FC VENUS,"FC Venus is a romantic comedy about men, women and soccer.",2005,107,2194526,2867669,Talent House,,2005-12-30,['Joona Tena'],"['Minna Haapkylä', 'Petteri Summanen', 'Laura Malmivaara', 'Taneli Mäkelä']","['Comedy', 'Romance', 'Sport']",0,False,True
THE DEATH OF MR LAZARESCU,"Mr. Lãzãrescu, a dying old man, is shuttled from hospital to hospital by a loyal paramedic as doctors refuse to operate and no one can agree on a diagnosis.",2005,153,662598,287464,Mandragora,R,2005-09-22,['Cristi Puiu'],"['Doru Ana', 'Monica Barladeanu', 'Alina Berzunteanu', 'Dorian Boguta']","['Comedy', 'Drama']",0,False,False
CAGES,"Eve and Damien have formed a loving couple for seven years now. Following a tragic event, their relationship begins to run out of steam. When Eve realizes that she might lose the man of her life, she tries everything to keep him.",2006,86,2567569,94400,Versus Production,,2007-05-09,['Olivier Masset-Depasse'],"['Anne Coesens', 'Sagamore Stévenin', 'Michel Angely', 'Adel Bencherif']","['Drama', 'Romance']",0,False,False
SEED,"After a seemingly undead man is bound and buried alive, he digs himself back to the surface and seeks bloody vengeance on those who caused him his suffering.",2006,90,6418923,336369,Pitchblack Pictures,Unrated,2006-11-03,['Uwe Boll'],"['Michael Paré', 'Will Sanderson', 'Ralf Moeller', 'Jodelle Ferland']",['Horror'],0,False,False
